Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
1076 344 2.59 0 0.0 0 344
1078 344 2.59 0 0.0 0 344
1080 344 2.59 0 0.0 0 344
1082 344 2.59 0 0.0 0 344
1084 344 2.59 0 0.0 0 344
1086 344 2.59 0 0.0 0 344
1088 344 2.59 0 0.0 0 344
1090 344 2.59 0 0.0 0 344
1092 344 2.59 0 0.0 0 344
1094 344 2.59 0 0.0 0 344
1096 344 2.59 0 0.0 0 344
1098 344 2.59 0 0.0 0 344
1100 344 2.59 0 0.0 0 344
1102 344 2.59 0 0.0 0 344
1104 344 2.59 0 0.0 0 344
1106 344 2.59 0 0.0 0 344
1108 344 2.59 0 0.0 0 344
1110 344 2.59 0 0.0 0 344
1112 344 2.59 0 0.0 0 344
1114 344 2.59 0 0.0 0 344
1116 344 2.59 0 0.0 0 344
1118 344 2.59 0 0.0 0 344
1120 344 2.59 0 0.0 0 344
1122 344 2.59 0 0.0 0 344
1124 344 2.59 0 0.0 0 344
1126 344 2.59 0 0.0 0 344
1128 344 2.59 0 0.0 0 344
1130 344 2.59 0 0.0 0 344
1132 344 2.59 0 0.0 0 344
1134 344 2.59 0 0.0 0 344
1136 344 2.59 0 0.0 0 344
1138 344 2.59 0 0.0 0 344
1140 344 2.59 0 0.0 0 344
1142 344 2.59 0 0.0 0 344
1144 344 2.59 0 0.0 0 344
1146 344 2.59 0 0.0 0 344
1148 344 2.59 0 0.0 0 344
1150 344 2.59 0 0.0 0 344
1152 344 2.59 0 0.0 0 344
1154 344 2.59 0 0.0 0 344
1156 344 2.59 0 0.0 0 344
1158 344 2.59 0 0.0 0 344
1160 344 2.59 0 0.0 0 344
1162 344 2.59 0 0.0 0 344
1164 344 2.59 0 0.0 0 344
1166 344 2.59 0 0.0 0 344
1168 344 2.59 0 0.0 0 344
1170 344 2.59 0 0.0 0 344
1172 344 2.59 0 0.0 0 344
1174 344 2.59 0 0.0 0 344
1176 344 2.59 0 0.0 0 344
1178 344 2.59 0 0.0 0 344
1180 344 2.59 0 0.0 0 344
1182 344 2.59 0 0.0 0 344
1184 344 2.59 0 0.0 0 344
1186 344 2.59 0 0.0 0 344
1188 344 2.59 0 0.0 0 344
1190 344 2.59 0 0.0 0 344
1192 344 2.59 0 0.0 0 344
1194 344 2.59 0 0.0 0 344
1196 344 2.59 0 0.0 0 344
1198 344 2.59 0 0.0 0 344
1200 344 2.59 0 0.0 0 344
1202 344 2.59 0 0.0 0 344
1204 344 2.59 0 0.0 0 344
